Activity,Average Speed (km/h),Max Speed (km/h),Avg HR,Max HR,Avg Run Cadence,Total Ascent,Total Descent,Moving Time,Elapsed Time,Distance,Low Aerobic (%),High Aerobic (%),Anaerobic (%),Max Distance,Marathon Time (s),Age,Weight,Gender
144,11,16.42,148,182,176.89,5803,5720,612132,611786,2202,75,13,12,33,10863,25,51,1
115,10.01,13.93,156,183,180.6,4635,4763,489154,490916,1764,90,6,4,25,13062,29,48,0
144,11.39,15.93,155,183,176.51,5744,5837,613266,611747,2189,71,18,11,33,10684,24,61.5,1
115,9.55,13.61,155,175,181.18,4498,4700,489577,489109,1760,70,23,7,26,13773,29,52,0
144,11.41,15.93,151,183,177.26,5759,5851,612150,611904,2186,77,18,5,33,10362,33,64,1
115,9.67,14.14,152,175,179.35,4492,4791,489507,490134,1755,70,23,7,27,13693,29,48,0
144,10.87,16.21,153,184,175.2,5760,5876,612432,612931,2202,75,19,6,40,10115,27,67,1
115,10.45,14.01,156,178,178.38,4482,4698,490017,490312,1758,81,10,9,29,13780,29,49,0
144,11.77,16.81,148,187,176.01,5669,5735,612353,612832,2189,75,25,0,32,10585,33,66,1
115,10.31,13.75,159,182,178.14,4528,4695,489411,489743,1746,82,18,0,31,13528,29,51,0
144,11.1,16.31,153,186,175.56,5759,5851,612312,612328,2185,75,18,7,38,10087,33,64,1
115,9.6,14.26,153,177,180.17,4493,4750,490196,489853,1763,80,18,2,33,13132,29,49,0
144,11.48,16.13,151,180,174.85,5839,5889,612653,612540,2199,80,13,7,34,10424,29,63,1
115,9.94,13.58,154,175,180.36,4597,4636,490462,489053,1762,81,18,1,24,13720,33,53,0
144,10.92,16.19,150,182,173.82,5806,5711,612597,611457,2195,76,17,7,36,10585,34,61.5,1
115,10,13.66,160,180,178.15,4645,4712,490596,490499,1762,77,20,3,27,13753,29,49,0
144,10.83,16.83,150,186,176.99,5755,5882,612591,612084,2197,76,16,8,41,10942,34,60,1
115,10.41,14.31,153,180,179.44,4460,4612,489089,489591,1746,78,18,4,31,14085,29,50,0
144,11.06,16.53,151,185,174.21,5728,5722,612816,611572,2186,80,15,5,32,11086,38,61.5,1
115,10.16,14.37,157,180,180.09,4463,4698,489865,490772,1754,79,11,10,33,13973,29,52,0
144,11.11,16.7,151,182,176.78,5675,5804,612194,612214,2187,75,14,11,32,10809,40,61.5,1
115,10.02,13.69,159,180,178.86,4483,4629,489553,490092,1746,70,28,2,27,13417,29,51,0
144,11.35,16.79,148,187,176.19,5739,5716,612617,611479,2200,75,24,1,39,10865,33,61.5,1
115,9.68,14.04,158,176,178.34,4461,4712,490460,489805,1751,70,21,9,28,13793,29,49,0
144,11.77,16.71,154,184,173.91,5787,5761,611428,612636,2201,71,18,11,33,11098,33,61.5,1
115,10.28,14.4,152,175,180.13,4619,4683,490108,489122,1750,75,23,2,29,13539,29,49,0
144,11.74,16.22,155,180,175.86,5743,5811,612845,612163,2189,80,15,5,36,10087,33,62,1
115,10.39,13.61,151,179,180.55,4611,4685,489258,490172,1751,70,18,12,25,13768,29,56,0
144,11.4,16.13,156,182,176.6,5799,5840,613071,613099,2187,77,20,3,34,11122,42,61.5,1
115,10.42,13.93,159,178,181.9,4637,4786,490439,490170,1750,76,21,3,32,13140,29,52,0
144,10.89,16.72,149,182,175.77,5822,5718,612788,613082,2189,77,15,8,38,10185,33,55,1
115,9.7,14.36,157,175,179.29,4583,4776,490776,490475,1755,72,24,4,30,13866,29,57,0
144,10.85,15.91,157,180,176.88,5692,5799,612765,612864,2194,77,16,7,37,10596,33,59,1
115,9.83,14.01,153,179,179.08,4620,4739,489419,490345,1764,75,19,6,31,13199,29,56,0
144,11.19,16.32,154,185,175.46,5848,5888,613080,611446,2201,81,15,4,35,10084,33,62,1
115,9.77,13.72,160,177,178.31,4638,4746,489430,490176,1759,80,18,2,31,13121,29,51,0
144,11.63,16.02,156,188,173.8,5830,5775,612750,612728,2193,80,20,0,35,10292,33,65,1
115,9.86,13.84,154,179,181.85,4560,4608,489136,490469,1759,75,21,4,31,13163,29,49,0
144,11.08,16.84,148,187,177.04,5671,5898,612724,612566,2185,76,23,1,40,11229,33,66,1
115,10.04,13.82,152,175,180.78,4526,4627,490075,490358,1764,80,14,6,26,13165,29,48,0
144,10.94,16.42,148,184,175.34,5724,5827,613227,612936,2197,70,25,5,34,10287,33,64,1
115,10.3,14.2,155,177,178.69,4620,4651,490013,490316,1758,77,16,7,25,13165,29,53,0
144,10.87,16.26,152,180,174.33,5827,5782,612675,612989,2188,80,13,7,41,10093,33,56,1
115,10.49,14.47,157,178,179,4533,4710,490358,490829,1746,77,15,8,26,13677,29,48,0
144,11.3,16.4,153,185,175.7,5760,5800,612400,612400,2195,75,20,5,37,10660,31,61.5,1
98,11.55,19.57,148.32,190,176.56,1539,1626,426018,427823,1377.06,58.16,25.51,16.33,30.01,11393,35,60,1
89,10.59,20.57,143.99,201,175.56,825,833,360858,369071,1088.91,73.03,25.84,1.12,42.65,12604,34,60,1
107,10.69,26.28,145.9,196,177.32,1225,1622,424408,434311,1273.08,57.94,37.38,4.67,32.01,12579,33,60,1
111,9.2,42.86,158.67,205,172.37,1289,1892,498524,530123,1308.58,87.39,11.71,0.9,32.01,14183,40,45,0
103,9.03,48.65,161.68,202,167.63,675,1541,435055,465495,1126.6,80.58,16.5,2.91,26.64,14405,38,44,0
